"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.61746527876553e-163,1.21069232867084,0.352,0.159,5.04437908523693e-159,"1","LEPROT"
3.32484321581891e-160,0.689021594626424,0.693,0.467,6.40763784552621e-156,"1","RHOC"
1.49635174514804e-159,0.579425644698665,0.847,0.674,2.8837690832493e-155,"1","BTF3"
1.91970576810357e-157,0.312037741241769,0.998,0.978,3.69965695628919e-153,"1","TPT1"
2.18958435413374e-156,0.765152595609005,0.657,0.437,4.21976696728655e-152,"1","CCNI"
2.50304663952185e-151,0.971791811819578,0.414,0.209,4.8238714836865e-147,"1","SDCBP"
2.93062848605539e-151,0.278270351372978,0.945,0.837,5.64790721832594e-147,"1","RPS3"
1.17867164811378e-150,0.671810361456031,0.699,0.472,2.27153600024487e-146,"1","DUSP23"
5.91347128125654e-150,1.09702090509683,0.367,0.174,1.13964418532376e-145,"1","RARRES2"
2.40096750933518e-148,0.994856627682286,0.397,0.197,4.62714458399075e-144,"1","NAPSA"
6.91286617038634e-148,0.879926994617993,0.497,0.281,1.33224756835686e-143,"1","LYPLAL1"
9.40334730530655e-148,0.308112484096424,0.99,0.971,1.81221309267868e-143,"1","RPL3"
2.26144386937279e-147,1.15753102861713,0.3,0.129,4.35825462505524e-143,"1","YWHAH"
4.22129610524702e-147,0.878682876949614,0.498,0.283,8.13528185403206e-143,"1","EIF4G2"
4.7652123751962e-143,0.409841974415956,0.932,0.777,9.18351728947812e-139,"1","MIF"
7.70010031317822e-143,0.400877007882036,0.96,0.883,1.48396333235571e-138,"1","RPL7A"
8.45015199430136e-143,1.11569584871912,0.327,0.151,1.62851329234176e-138,"1","GNG12"
8.88681902874988e-142,1.02907790954858,0.372,0.186,1.71266776322068e-137,"1","SRI"
1.57754931844601e-141,0.842390689209765,0.601,0.386,3.04025304650914e-137,"1","KRT8"
2.79566337753498e-141,0.623800441759963,0.745,0.539,5.38780246118541e-137,"1","HMGN3"
6.06770868164402e-139,0.361224122958403,0.978,0.917,1.16936881712643e-134,"1","RPS20"
5.70021449384696e-137,0.36341466718656,0.969,0.898,1.09854533725419e-132,"1","RPL24"
6.58712960822669e-137,1.38890618031152,0.25,0.101,1.26947161809745e-132,"1","CD151"
4.44982647398919e-133,0.332604460696605,0.977,0.928,8.57570558067197e-129,"1","RPL6"
1.43143878551242e-132,0.71833849692785,0.702,0.5,2.75866882743954e-128,"1","LAPTM4A"
2.5342307903419e-132,0.984518161832596,0.364,0.182,4.88396957914691e-128,"1","MEAF6"
6.875979197662e-132,1.31243284703145,0.252,0.104,1.32513871097342e-127,"1","RRAS2"
5.40798652891657e-131,0.555292999789764,0.789,0.598,1.0422271638528e-126,"1","ATP6V1G1"
1.84848777904086e-130,1.09198193215786,0.275,0.118,3.56240564776755e-126,"1","TRIP6"
3.11776494956597e-130,1.03210854112528,0.345,0.171,6.00855661080353e-126,"1","EEF1E1"
1.32378452561507e-129,0.757333813890039,0.558,0.349,2.55119753776536e-125,"1","ABRACL"
1.0275610955347e-128,0.520385218265648,0.72,0.469,1.98031574331448e-124,"1","RPS4Y1"
1.14878379611315e-128,0.654400212329957,0.617,0.402,2.21393613186925e-124,"1","ERH"
1.23434740140311e-128,0.689405496862564,0.625,0.419,2.37883431198408e-124,"1","TRAPPC1"
